artist,genre
Gala,Unknown
Die_Doofen,neue deutsche welle
Will_to_Power,funk melody
Terry_Jacks,Unknown
Angelo_Branduardi,italian singer-songwriter
Joseph_Kosma,Unknown
Foreigner,album rock
808_State,acid house
They_Might_Be_Giants,Unknown
Captain_Hollywood_Project,eurodance
Bobby_Bare,traditional country
dc_Talk,christian rock
Mac_Davis,Unknown
McFadden_and_Whitehead,philly soul
TLC,r&b
Fat_Larry_s_Band,Unknown
The_Ventures,surf rock
Spirit,Unknown
Axelle_Red,variété française
Clerc_Julien,chanson
Le_Grand_Orchestre_du_Splendid,chanson
Fugees,east coast hip hop
Boney_James,smooth jazz
Ricchi_e_Poveri,italo dance
Gilbert_Becaud,chanson
Orgy,Unknown
Stiltskin,Unknown
Tears_n_Joy,Unknown
Kevin_Paige,Unknown
Beloved,Unknown
Save_Ferris,ska
Propaganda,christian hip hop
Michael_George,rock
Diamond_Jim,Unknown
Taja_Sevelle,Unknown
Koos_Alberts,nederpop
The_Go-Go_s,Unknown
Cilla_Black,Unknown
Joni_Mitchell,singer-songwriter
Henry_Butler,Unknown
Neil_Young,classic rock
Kid_Rock,Unknown
Village_People,disco
The_Allman_Brothers_Band,Unknown
Julie_Andrews,musicals
Oasis,britpop
Major_Harris,philly soul
David_Gates,Unknown
George_Benson,smooth jazz
Westlife,Unknown
ABC,Unknown
DJ_Quicksilver,trance
Weezer,alternative rock
The_Presidents_of_the_United_States_of_America,grunge
Semisonic,Unknown
Gilbert_and_Sullivan,opera
Bjork,art pop
Danny_and_The_Juniors,doo-wop
Greg_Kihn,Unknown
The_Whispers,post-disco
Trini_Lopez,Unknown
Presidents_Of_The_United_States,grunge
The_McCoys,Unknown
Frank_Sinatra,rock
Naked_Eyes,new wave
Bellamy_Brothers,Unknown
Brian_May,Unknown
AC_DC,rock
Lewis,soft pop
Soul_Asylum,alternative rock
Carra,Unknown
BOWIE_DAVID,glam rock
The_Notorious_B.I.G.,gangster rap
Little_Tony,italian singer-songwriter
Rick_Derringer,classic rock
Berte,Unknown
Sailor,Unknown
Gloria_Estefan,Unknown
Johnny_Shines,blues
Strawberry_Alarm_Clock,psychedelic rock
George_M._Cohan,ragtime
Great_White,glam metal
Rocco_Granata,italo dance
Booming_Support,happy hardcore
Peter_Schilling,neue deutsche welle
Sauter-Finegan_Orchestra,big band
Jane_Child,new jack swing
Andre_and_Adriano,agronejo
REDDING_OTIS,soul
Buck_Owens,honky tonk
Culture_Beat,eurodance
Cheap_Trick,power pop
Ricky_Nelson,rockabilly
Juan_Luis_Guerra,merengue
The_Marcels,doo-wop
Fontana,Unknown
Vera_Lynn,adult standards
Byron_Berline,bluegrass
Gin_Blossoms,Unknown
Zucchero,italo dance
Lloyd_James,smooth jazz
Sinead_O_Connor,Unknown
Lutricia_McNeal,Unknown
Electric_Light_Orchestra,symphonic rock
Marusha,happy hardcore
Vincent_Gene,rockabilly
Fontella_Bass,motown
Johannes_Brahms,classical
Talking_Heads,new wave
Midnight_Oil,surf rock
John_Elton,Unknown
D_Ream,Unknown
Marianne_Faithfull,Unknown
Everlast,Unknown
Claude-Michel_Schonberg,chanson
Turtles,bluegrass
Wham_,choral
Perry_Como,christmas
Eddy_Grant,Unknown
Benjamin_Arthur,Unknown
Technotronic,eurodance
Scott_McKenzie,Unknown
Mica_Paris,new jack swing
The_Chiffons,doo-wop
Venditti_Antonello,italian singer-songwriter
King_Ben_E,Unknown
Gary_Wright,soft rock
Just_Friends,midwest emo
Zequinha_Abreu,Unknown
No_Mercy,eurodance
Alpentrio_Tirol,polka
Ana_Caram,bossa nova
Rea,Unknown
Dannii_Minogue,Unknown
Michael_Penn,power pop
Canned_Heat,blues rock
Brown_James,soul
Phish,Unknown
John_Fred,Unknown
Coolio,west coast hip hop
Survivor,Unknown
Undercover,Unknown
Miami_Sound_Machine,Unknown
Michael_Learns_to_Rock,Unknown
Romantics,power pop
The_Buckinghams,baroque pop
Masquerade,black metal
Ocean,Unknown
Bobby_McFerrin,Unknown
Grease,musicals
James,soft pop
Reel_Big_Fish,ska
Lobo,Unknown
Dik_Dik,children's music
Ranieri,canzone napoletana
Francis_Connie,schlager
Thin_Lizzy,classic rock
Dalla_Lucio,italian singer-songwriter
B.W._Stevenson,Unknown
Corona,banda
Claude_Debussy,classical piano
Jason_Donovan,musicals
Ray_Charles,jazz blues
Gino_Paoli,italian singer-songwriter
Feargal_Sharkey,Unknown
Fastball,Unknown
Quarterflash,Unknown
Lou_Bega,Unknown
Zappa_Frank,progressive rock
Brian_Hyland,Unknown
Flamingos,doo-wop
Jennifer_Warnes,Unknown
Brooks_Garth,country
Vera,Unknown
Freddy_Cannon,doo-wop
Meredith_Brooks,Unknown
Eminem,rap
Beastie_Boys,rap rock
Tavares,sertanejo
Ozzy_Osbourne,metal
Marilyn_Manson,industrial metal
Lennon_John,rock
Heatwave,disco
The_Mighty_Mighty_Bosstones,ska punk
Droids,Unknown
Jolson._Al,ragtime
Reel_2_Real,eurodance
Kris_Kristofferson,country
Richard_Harris,baroque pop
Chris_Norman,Unknown
Robert_Miles,trance
Hasselhoff_David,synthwave
Four_Tops,motown
Marianne_and_Michael,polka
Zhi-Vago,eurodance
Trio,chamber music
Coasters,doo-wop
Limahl,synthpop
Looking_Glass,Unknown
Heywood,big band
The_The_Kingston_Trio,folk
Dalla,brazilian trap
Wax,Unknown
UB40,reggae
Kaempfert,orchestra
David_A._Stewart,Unknown
Adiemus,new age
Luther_Vandross,quiet storm
Buddy_Holly,rockabilly
Sinatra,christmas
The_Tremeloes,Unknown
Faith_No_More,funk rock
Fairground_Attraction,Unknown
Johnny_Nash,Unknown
Duke_Robillard,blues
Ace_of_Base,eurodance
INXS,Unknown
Steve_Perry,album rock
Cats,Unknown
The_Alan_Parsons_Project,symphonic rock
Sedaka_Neil,doo-wop
"KING,RICKY",indorock
Intermission,Unknown
Alive,Unknown
Ice_Cube,gangster rap
The_Christians,Unknown
Lois_Lane,nederpop
Trinere,funk melody
Paula_Cole,Unknown
Jones_Grace,art pop
Soft_Cell,synthpop
Led_Zeppelin,classic rock
Last,Unknown
Duke_Ellington,jazz
MC_Hammer,Unknown
Devo,gospel
Steam,christmas
Peter_Frampton,classic rock
Monica,r&b
Wolter_Kroes,nederpop
Alizee,french pop
Extreme,glam metal
Foundations_The,Unknown
Goblin,bossa nova
Hans_Dulfer,nederpop
Baccara,disco
Joe_South,Unknown
Kenny_Baker,bluegrass
The_Shadows,surf rock
ANKA_PAUL,adult standards
Joey_Dee,doo-wop
Korn,Unknown
R.E.M.,Unknown
Thomas_Campion,choral
Harold_Melvin,philly soul
Carnes_Kim,Unknown
Commodores,motown
Barber_Samuel,classical
Sweet,Unknown
Spice_Girls,Unknown
Showaddywaddy,glam rock
Roxette,Unknown
PRESTON_BILLY,Unknown
Classics,Unknown
Silver_Convention,disco
Geri_Halliwell,Unknown
Mud,post-grunge
Sammy_Hagar,glam metal
Annie_Cordy,chanson
Mina,hindi hip hop
Hank_Williams,country
Whigfield,eurodance
McCartney,Unknown
Stampeders,Unknown
"10,000_Maniacs",jangle pop
elgar,classical
McCoys,Unknown
Carboni,italian singer-songwriter
Harpo,blues
Reinhardt_Django,swing music
Michael_English,southern gospel
Brotherhood_of_Man,Unknown
Bob_Seger,classic rock
Robert_Knight,northern soul
Jim_Croce,folk rock
Ultravox,synthpop
Real_McCoy,eurodance
Stevie_B,funk melody
Blind_Melon,grunge
Santana,Unknown
Aaliyah,r&b
DJ_Paul_Elstak,Unknown
Johnny_and_The_Hurricanes,rockabilly
Jewel,gospel
Bruce_Springsteen,Unknown
Peaches_and_Herb,disco
Jeannie_C._Riley,Unknown
Chuck_Mangione,smooth jazz
Dream_Theater,progressive metal
Brian_Wilson,gospel
Julie_Covington,Unknown
Hakkuhbar,happy hardcore
Jefferson_Airplane,psychedelic rock
Giorgia,italian singer-songwriter
Baltimora,italo disco
Ronan_Keating,Unknown
Desmond_Dekker,rocksteady
"Sammy_Davis,_Jr.",big band
Mary_J._Blige,r&b
Ike_and_Tina_Turner,motown
Louis_Armstrong,jazz
George_Michael,Unknown
NOFX,Unknown
Robyn,Unknown
Steely_Dan,classic rock
Savage_Garden,Unknown
The_Kelly_Family,schlager
Paul_Davis,soft rock
LANZA,Unknown
Gwen_McCrae,post-disco
SASH_,Unknown
Doe_Maar,nederpop
Crosby_Bing,christmas
Theodorakis_Mikis,entehno
Womack,country
Edwyn_Collins,britpop
Bilk,Unknown
Carey,christmas
Paul_McCartney,rock
Gregori,gregorian chant
The_Tony_Rich_Project,quiet storm
Loesser,musicals
Claude_Bolling,ragtime
Alexander_Peter,schlager
Ambra,Unknown
Peter_Cornelius,schlager
Reeves,motown
Lit,canzone napoletana
The_Ramsey_Lewis_Trio,Unknown
Claude_Francois,variété française
B.G._The_Prince_of_Rap,eurodance
Chaka_Khan,Unknown
Kenny_G,smooth jazz
Jimmy_Reed,blues
Tozzi,italo dance
Beck,reggaeton
Maria_Muldaur,blues
LeAnn_Rimes,Unknown
Faith_Evans,r&b
Men_Without_Hats,synthpop
The_Ink_Spots,adult standards
Palemiger_Spatzen,polka
Rita_Coolidge,Unknown
Bobby_Darin,big band
Moist,Unknown
SAM,Unknown
Los_Lobos,roots rock
Alliage,Unknown
Drafi_Deutscher,schlager
Al_Hirt,big band
Mahalia_Jackson,gospel
Quincy_Jones,soul jazz
Red_Hot_Chili_Peppers,funk rock
Nada_Surf,power pop
Michael_Ball,musicals
Billy_Preston,Unknown
FAURE_Gabriel,classical
Ohio_Players,soul
Sister_Hazel,Unknown
Freakwater,alt country
Alice_in_Chains,grunge
Alien_Ant_Farm,nu metal
The_Rutles,power pop
Rockwell,Unknown
Jay_and_The_Americans,doo-wop
Jackson_Browne,folk rock
Williams_Deniece,Unknown
Buzz_Clifford,doo-wop
Georgie_Fame,Unknown
Fat_Boys,east coast hip hop
White_Town,Unknown
Don_Johnson,Unknown
Ronnie_Spector,Unknown
Opus,stutter house
Victoria_Williams,alt country
Steve_Allen,trance
Patti_Smith,proto-punk
Carmina_Burana,Unknown
Johnny_Mercer,big band
Vanessa_Williams,Unknown
Summer_Donna,disco
Linkin_Park,nu metal
Checker_Chubby,rock and roll
Umberto_Tozzi,italo dance
Styx,Unknown
Foster_David,christmas
Richard_Marx,soft rock
Enigma,corrido
Claudia_Schmidt,folk
Edvard_Grieg,classical
Stewart_Rod,soft rock
Calvert,classical
"Peter,_Paul_and_Mary",folk
Charles-Valentin_Alkan,classical piano
Janet_Jackson,new jack swing
Carpenter,Unknown
Counting_Crows,Unknown
The_Ronettes,christmas
The_Box_Tops,Unknown
Laura_Pausini,latin pop
Clout,Unknown
The_Offspring,punk
Vanilla_Fudge,acid rock
Echo_and_The_Bunnymen,new wave
The_Four_Preps,doo-wop
Blondie,Unknown
Sailor_Moon,anime
Barbra_Streisand,adult standards
Duran_Duran,new wave
Sharpe,traditional music
Spandau_Ballet,new wave
Francesco_De_Gregori,italian singer-songwriter
Granados_Enrique,Unknown
Shirley_Bassey,easy listening
Atomic_Kitten,Unknown
Toys,electro corridos
Deep_Purple,hard rock
Dune,post-hardcore
Rod_Stewart,soft rock
Keith,country
Smokey_Robinson,motown
Deacon_Blue,Unknown
Kamoze_Ini,reggae
John_Mellencamp,classic rock
The_Beatles,classic rock
Scritti_Politti,synthpop
Gino_Vannelli,album rock
K2,Unknown
Fluitsma,nederpop
Hollenboer,nederpop
Glenn_Frey,Unknown
Helen_Reddy,Unknown
Tom_Jones,Unknown
The_Rascals,Unknown
Michael_Walthius,Unknown
Big_Bad_Voodoo_Daddy,swing music
Harvey_Danger,Unknown
James_Taylor,folk rock
Ugly_Kid_Joe,glam metal
Johnny_Kemp,new jack swing
KC_and_The_Sunshine_Band,disco
Blind_Guardian,power metal
Patsy_Cline,Unknown
Sandy_Denny,folk rock
David_Bowie,glam rock
Far_Corporation,Unknown
Bumble_B,lo-fi
Mel_Carter,doo-wop
De_Havenzangers,nederpop
Judas_Priest,heavy metal
Bombalurina,Unknown
The_Bangles,jangle pop
Lena_Horne,vocal jazz
Bonnie_Raitt,blues
Rick,indorock
Morandi,italian singer-songwriter
Heart,classic rock
Wonder_Stevie,motown
Urban_Cookie_Collective,eurodance
William_Orbit,idm
Smash_Mouth,Unknown
Pantera,groove metal
Jerome_Kern,Unknown
Londonbeat,eurodance
Alexia,Unknown
Falla,Unknown
Bobby_Brown,new jack swing
Gounod_Charles,opera
Dorsey,big band
Alabama,country
Nine_Days,Unknown
Frankie_Avalon,doo-wop
Foo_Fighters,rock
Jamaaladeen_Tacuma,gnawa
Hanson,Unknown
Mosch,Unknown
Images,new wave
Thelma_Houston,motown
Sly,Unknown
Die_Fantastischen_Vier,german pop
Tori_Amos,singer-songwriter
Cash_Johnny,country
Alma_Cogan,christmas
Bomfunk_MC_s,Unknown
Al_Martino,adult standards
Dvorak,classical
The_Wallflowers,Unknown
Uriah_Heep,progressive rock
Lee_Ritenour,smooth jazz
Vega,corrido
EXILE,j-pop
Percy_Grainger,Unknown
Free,corrido
Rene_Carol,schlager
Gabber_Piet,Unknown
"Boothe,_Ken",rocksteady
Charlie_Rich,traditional country
Culture_Club,Unknown
Mark_Collie,gothic country
Shearing_George,cool jazz
Lucifer,Unknown
Shawn_Colvin,Unknown
Soul_II_Soul,new jack swing
Club_Nouveau,new jack swing
Mamas,folk rock
LaSalle,jazz
The_J._Geils_Band,classic rock
Little_Texas,country
B.B._King,Unknown
Tupac,Unknown
Billy_Joel,soft rock
Connie_Francis,schlager
Ernst_Neger,schlager
Gary_Burton,jazz
Robert_Palmer,Unknown
Diana_Ross,motown
The_Zombies,baroque pop
Timeless,Unknown
Quiet_Riot,glam metal
Starship,Unknown
Rob_Zombie,industrial metal
Clayderman_Richard,easy listening
Bobby_Prins,nederpop
Jennifer_Lopez,Unknown
Boy_George,Unknown
Richard_Cliff,christmas
Shakatak,smooth jazz
Kingsmen,proto-punk
Taylor_James,folk rock
Joan_Jett,rock
Bernd_Cluver,schlager
Bino,vallenato
Diana_King,Unknown
The_Dinky_Toys,Unknown
Equipe_84,italian singer-songwriter
Tom_Astor,schlager
Inner_Circle,reggae
Jimi_Hendrix,psychedelic rock
Nat_King_Cole,christmas
Rene_Klijn,nederpop
Ohio_Express,bubblegum pop
Des_ree,Unknown
Howard_Carpendale,schlager
Bay_City_Rollers,glam rock
Flair,Unknown
Michael_Jackson,pop
Holiday_Billie,jazz
M2M,cumbia norteña
Ana_Belen,trova
Zamfir_Gheorghe,Unknown
Anne_Murray,Unknown
Elvis_Presley,rockabilly
98_Degrees,Unknown
Jordy,Unknown
Antoine,gospel r&b
Peter_Kent,schlager
Double_Vision,eurodance
Faithless,trip hop
Dire_Straits,classic rock
Chicago,soft rock
Mezzoforte,smooth jazz
Andre_Brasseur,polka
Stansfield_Lisa,Unknown
Prince_Ital_Joe,eurodance
Cheryl_Ladd,album rock
Simply_Red,Unknown
Amy_Grant,christmas
Martin_Ricky,latin pop
Starland_Vocal_Band,soft rock
Alan_Jackson,country
Fleetwood_Mac,classic rock
N-Trance,eurodance
The_Marshall_Tucker_Band,southern rock
Outcasts,power pop
Cliff_Richard,christmas
Edsels,doo-wop
Andre_van_Duin,nederpop
Hootie_and_the_Blowfish,Unknown
BAP,Unknown
Gibson_Brothers,disco
Cascades,doo-wop
Shelley_Fabares,doo-wop
Jethro_Tull,progressive rock
Hot_Butter,newgrass
Daft_Punk,french house
Dingetje,nederpop
Crystal_Gayle,Unknown
Gary_Moore,blues
Meat_Puppets,grunge
Melanie,Unknown
The_Brecker_Brothers,jazz fusion
Digno_Garcia,Unknown
Bobby_Bloom,Unknown
The_Robert_Cray_Band,blues
Captain_Jack,eurodance
Haley,Unknown
"Emerson,_Lake_and_Palmer",progressive rock
Marillion,progressive rock
The_Main_Ingredient,philly soul
Grant_and_Forsyth,indorock
The_Mamas_and_The_Papas,folk rock
Jeff_Beck,jazz fusion
Chic,bassline
Crests,doo-wop
Tony_Joe_White,blues
Cocker,Unknown
Nas,hip hop
Nena,neue deutsche welle
Les_Humphries_Singers,schlager
Trio_Hellenique,Unknown
Johnny_Hates_Jazz,new wave
Jimmy_Gilmer,Unknown
Gallery,Unknown
Third_Eye_Blind,Unknown
Usher,r&b
Willie_Nelson,country
Bonzo_Dog_Doo_Dah_Band,Unknown
Cher,Unknown
Mike_Oldfield,progressive rock
Fabi,indonesian pop
Brenton_Wood,Unknown
the_mamas_and_papas,folk rock
Michele_Zarrillo,italian singer-songwriter
Christopher_Cross,soft rock
Trance,hard house
Haydn,chamber music
BBE,Unknown
Aerosmith,classic rock
Morton_Jelly_Roll,ragtime
Kramer,country
Cosmix,Unknown
The_Beau_Brummels,acid rock
Simon_and_Garfunkel,folk rock
Supertramp,progressive rock
Tears_for_Fears,new wave
DMX,Unknown
Small_Faces,proto-punk
Band_Aid,christmas
Vanessa_Paradis,variété française
John_Paul_Young,Unknown
Drifters,doo-wop
Julio_Iglesias,bolero
.38 Special,southern rock
David_Dundas,Unknown
C+C_Music_Factory,Unknown
Tommy_Flanagan,jazz
Bryson,r&b
Amie_Comeaux,traditional country
Modern_Talking,italo disco
Band,banda
Greger,big band
Paul_Simon,singer-songwriter
Dobie_Gray,northern soul
Ry_Cooder,blues
Doris_Day,adult standards
America,pop punk
George_Harrison,Unknown
Antonello_Venditti,italian singer-songwriter
TURNER_TINA,r&b
Boz_Scaggs,album rock
Bon_Jovi,glam metal
Gary_Glitter,glam rock
Mr._President,eurodance
Tatyana_Ali,Unknown
Nico_Landers,nederpop
Patrick_Hernandez,disco
George_Frideric_Handel,classical
Jam_and_Spoon,eurodance
The_Platters,doo-wop
Pet_Shop_Boys,synthpop
Franky_Boy,schlager
Shaun_Cassidy,Unknown
Candi_Staton,Unknown
Zez_Confrey,ragtime
All-4-One,Unknown
4_Non_Blondes,Unknown
Dr._John,Unknown
Watson_Johnny_Guitar,blues
Bill_Haley_and_His_Comets,rockabilly
Youssou_N_Dour,Unknown
Van_McCoy,disco
Gerard_Cox,nederpop
Albert_West,nederpop
Andy_Williams,christmas
Kiss,classical
Sugar_Ray,Unknown
Alpert,adult standards
Eddie_Floyd,soul
Prince,funk rock
Beres_Hammond,lovers rock
Gene_Chandler,doo-wop
Toto,soft rock
Def_Leppard,glam metal
Snoop_Dogg,g-funk
Paul_Anka,adult standards
Camel,melodic techno
Donna_Hightower,Unknown
Cock_Robin,Unknown
Wagner,opera
Salt-N-Pepa,hip hop
Nashville_Teens,garage rock
Bone,Unknown
Kalua_Beach_Boys,exotica
The_Vapors,new wave
Blaque,Unknown
The_Youngbloods,Unknown
Enya,new age
Gilbert_O_Sullivan,opera
Classics_IV,Unknown
Tasmin_Archer,Unknown
Tone-Loc,Unknown
The_Cyrkle,baroque pop
Sandie_Shaw,Unknown
Brassens_Georges,chanson
Ryan_Paris,italo disco
Petula_Clark,Unknown
"BAGINSKY,GABY",schlager
Natalie_Cole,quiet storm
Trisha_Yearwood,country
New_Kids_on_the_Block,Unknown
Guys_n_Dolls,musicals
Tatum_Art,jazz
Walter_Donaldson,Unknown
"Gaye,Marvin",motown
Rush,progressive rock
Vince_Guaraldi,christmas
George_McCrae,disco
Pato_Banton,reggae
Home_Grown,lo-fi
Santa_Esmeralda,Unknown
J.J._Jackson,Unknown
Army_of_Lovers,europop
Los_Bravos,norteño
The_Spotnicks,surf rock
Billy_Paul,philly soul
Guess_Who,classic rock
Mickey_and_Sylvia,doo-wop
Vicki_Brown,Unknown
Ruth_Jacott,nederpop
Bob_Welch,soft rock
Jerry_Mungo,Unknown
Odyssey,disco
The_New_Colony_Six,garage rock
Christina_Aguilera,pop
Harry_Nilsson,baroque pop
Janis_Ian,singer-songwriter
Marky_Ramone,Unknown
Roy_Orbison,rockabilly
Alphaville,synthpop
Mike_+_The_Mechanics,soft rock
Barry_and_Eileen,nederpop
Aphrodite_s_Child,Unknown
The_Chaplin_Band,italo disco
De_Deurzakkers,Unknown
Alberto_Fortis,italian singer-songwriter
Buena_Vista_Social_Club,son cubano
Bernhard_Brink,schlager
Seals_and_Crofts,soft rock
Boxcar,bluegrass
Monty_Python,comedy
Mink_DeVille,Unknown
Daniel,Unknown
The_Rippingtons,smooth jazz
Dexys_Midnight_Runners,Unknown
Rupert_Holmes,Unknown
La_Bouche,eurodance
Nelly,Unknown
Dion,hindi hip hop
Willeke_Alberti,nederpop
Pater_Moeskroen,nederpop
Knight,motown
Greenbaum_Norman,classic rock
Steps_Ahead,gabber
Vangelis,new age
McDonald,motown
Ben_Cramer,nederpop
Dirotta_su_Cuba,Unknown
Johnny_Bristol,philly soul
Mark_Oh,happy hardcore
The_Bluegrass_Cardinals,bluegrass
Michael_Johnson,soft rock
Allure,lo-fi beats
Level_42,synthpop
James_Colin,blues
Manfred_Mann,progressive rock
John_Denver,folk
Loft,reggaeton chileno
Esther_Phillips,northern soul
Take_That,Unknown
Michael_Zager,disco
Rare_Earth,motown
Gloria_Gaynor,disco
Gary_Fane,nederpop
"Earth,_Wind_and_Fire",disco
Luniz,west coast hip hop
Nicki_French,eurodance
Henry_Mancini,exotica
Fun_Factory,eurodance
Wolfgang_Amadeus_Mozart,classical
Barclay_James_Harvest,progressive rock
Aaron_Neville,Unknown
Godsmack,nu metal
Sugarloaf,Unknown
Mylene_Farmer,variété française
"Lipps,_Inc.",disco
G._G._Anderson,Unknown
The_Lovin_Spoonful,folk rock
Chip_Davis,Unknown
Joshua_Kadison,Unknown
Caterina_Caselli,italian singer-songwriter
Asia,Unknown
Nakatomi,happy hardcore
A_Teens,Unknown
Vengaboys,eurodance
Paoli,italian singer-songwriter
Taylor_Dayne,Unknown
Roxy_Music,glam rock
Alvin_Stardust,glam rock
Sam_Cooke,motown
Massada,maluku
The_Archies,Unknown
Trio_Rio,Unknown
Watanabe,kayokyoku
The_Stylistics,philly soul
The_Smashing_Pumpkins,alternative rock
Birkin,french pop
Phil_Collins,soft rock
Adventures_of_Stevie_V.,Unknown
Tony_Orlando,Unknown
Bobby_Goldsboro,Unknown
Arrested_Development,Unknown
Dave_Baby_Cortez,Unknown
Isabelle_Adjani,variété française
Jurgen_Drews,schlager
Renzo_Arbore,canzone napoletana
Anita_Ward,disco
Fifth_Dimension,Unknown
Francois_Couperin,chamber music
Slipstream,Unknown
Matthew_Wilder,Unknown
Joseph_Lamb,ragtime
Brown_Clarence_Gatemouth,blues
Kiki_Dee,Unknown
Fiona_Apple,art pop
Stone_and_Stone,Unknown
Al_Wilson,northern soul
Little_River_Band,soft rock
Stevie_Nicks,Unknown
The_New_Seekers,Unknown
Rufus,Unknown
Allan_Sherman,comedy
Champs,pop punk
Righeira,italo disco
Jesus_Jones,madchester
Pooh,memphis rap
Thelonious_Monk,jazz
Surface,Unknown
Conway_Twitty,country
Talk_Talk,new wave
Veruca_Salt,grunge
Squirrel_Nut_Zippers,swing music
Raf,Unknown
The_Four_Seasons,doo-wop
Morris_Albert,Unknown
Klaus_and_Klaus,schlager
Pharao,Unknown
Bernstein_Leonard,classical
It_s_a_Beautiful_Day,Unknown
Creedence_Clearwater_Revival,classic rock
Restless_Heart,Unknown
The_Beach_Boys,baroque pop
The_Byrds,folk rock
Rammstein,industrial metal
Fiorello,Unknown
Professor_Longhair,boogie-woogie
Peter_Cetera,soft rock
LL_Cool_J,east coast hip hop
King_Harvest,Unknown
Danilo_Amerio,Unknown
Billy_Idol,Unknown
B_Witched,europop
Color_Me_Badd,new jack swing
Another_Level,Unknown
Elkie_Brooks,Unknown
LaBelle,philly soul
Smokie,gospel
Glenn_Miller,big band
Eddy_Arnold,traditional country
Eros_Ramazzotti,italo dance
Jule_Styne,musicals
Hines_Earl,swing music
The_Yardbirds,psychedelic rock
Vaughan_Sarah,vocal jazz
Deep_Blue_Something,Unknown
Dennie_Christian,schlager
Double_You,eurodance
Jean_Michel_Jarre,new age
Our_Lady_Peace,post-grunge
Debby_Boone,Unknown
Norman_Blake,bluegrass
Climax,Unknown
Ace_Frehley,glam metal
Middle_of_the_Road,glam rock
E.Z.K,cumbia sonidera
Amedeo_Minghi,italian singer-songwriter
Korgis,Unknown
ARMSTRONG_LOUIS,jazz
Allan_Theo,Unknown
The_Contours,motown
"BRECK,FREDDY",schlager
Cindy_and_Bert,schlager
Dr._Hook,Unknown
A_Taste_of_Honey,disco
Haddaway,eurodance
Firehouse,glam metal
2_Brothers_on_the_4th_Floor,happy hardcore
Swingin_Medallions,garage rock
Bruno,Unknown
Freddie_Jackson,quiet storm
Rudi_Carrell,schlager
Drukwerk,nederpop
Chocolate,Unknown
Maxx,Unknown
Frans_Bauer,nederpop
Mary_Hopkins,children's music
The_Tragically_Hip,Unknown
Ringo_Starr,rock
Scatman_John,eurodance
Kenny_Dorham,hard bop
K-Ci_and_JoJo,r&b
"Rich_,_Buddy",big band
Stray_Cats,rockabilly
Carpenters,christmas
Tracy_Byrd,country
Marvin_Hamlisch,ragtime
Joe_Dassin,chanson
Sheena_Easton,Unknown
The_Corrs,celtic rock
Chris_Montez,Unknown
Gebroeders_Grimm,Unknown
Chastain,Unknown
Alpenrebellen,schlager
Natalie_Merchant,singer-songwriter
Derby,sexy drill
Love_Sculpture,blues rock
Bennett,vocal jazz
The_Babys,album rock
Black_Rob,Unknown
Lewis_Ramsey,jazz funk
The_Romantics,power pop
Johann_Nepomuk_Hummel,chamber music
Basie,big band
Judy_Collins,folk
